sector,dep_var,model_type,feature,importance
Creative Industries,lq_emp,regression,net_additions,0.0007175367193791749
Creative Industries,lq_emp,regression,related_variety,0.0019118609329110137
Creative Industries,lq_emp,regression,size_large_share,0.5016573059717642
Creative Industries,lq_emp,regression,size_micro_share,0.01535756972025329
Creative Industries,lq_emp,regression,public_transport_to_employer,0.10741190015504783
Creative Industries,lq_emp,regression,drive_to_employer,0.0034234261279357868
Creative Industries,lq_emp,regression,cycle_to_employer,0.02506729147670715
Creative Industries,lq_bus,regression,new_enterprises,0.0024607788202788286
Creative Industries,lq_bus,regression,deaths_of_enterprises,0.004814625624430714
Creative Industries,lq_bus,regression,active_enterprises,0.006535745543966524
Creative Industries,lq_bus,regression,high_growth_enterprises,0.011439699147696939
Creative Industries,lq_bus,regression,broadband_availability,0.005394876157486873
Creative Industries,lq_bus,regression,4g_area_coverage,0.0006139124648751194
Creative Industries,lq_bus,regression,gcse_by_age_19,0.01649020474986414
Creative Industries,lq_bus,regression,early_years_comms,0.007134175159111059
Creative Industries,lq_bus,regression,early_years_literacy,0.00676214816645765
Creative Industries,lq_bus,regression,early_years_maths,0.028308922861651185
Creative Industries,lq_bus,regression,apprenticeship_starts,0.4133632487127697
Creative Industries,lq_bus,regression,apprenticeship_achievements,0.22840294085373936
Creative Industries,lq_bus,regression,level_3+_qualifications,0.03994141221863607
Creative Industries,lq_bus,regression,fe_and_skills_participation,0.003841021440675953
Creative Industries,lq_bus,regression,smokers,0.0010985990810163835
Creative Industries,lq_bus,regression,reception_obesity,0.004491880104975704
Creative Industries,lq_bus,regression,year_6_obesity,0.013067904359015578
Creative Industries,lq_bus,regression,adult_obesity,0.01794901537127674
Creative Industries,lq_bus,regression,cancer_diagnosis,0.004805304368899637
Creative Industries,lq_bus,regression,under_75_mortality_rate,0.008026176915012019
Creative Industries,lq_bus,regression,life_satisfaction,0.00039402414904209673
Creative Industries,lq_bus,regression,worthwhile,0.0035057104149491675
Creative Industries,lq_bus,regression,happiness,0.000828426329619267
